Report,Timeframe,Period,Prior Year Week Ending,Current Year Week Ending,Geography,Variety,Volume Prior Year,Volume Current Year,Volume Variance,Price per Volume Prior Year,Price per Volume Current Year,Price per Volume Variance,Units Prior Year,Units Current Year,Unit Variance,Price per Unit Prior Year,Price per Unit Current Year,Price per Unit Variance,Dollars Prior Year,Dollars Current Year,Dollar Variance
Produce,Last 04 Wks,3.0,2020/03/29,2021/03/28,Total U.S.,Raspberries,13451781.06,12222528.4,-0.0914,7.6207,8.319,0.0916,30641900.54,27107886.46,-0.1153,3.3455,3.7509,0.1212,102511345.1,101679793.1,-0.0081
Produce,Last 04 Wks,3.0,2020/03/29,2021/03/28,Total U.S.,Strawberries,104645211.4,114018595.0,0.0896,2.6762,2.7773,0.0378,94133611.41,99913367.2,0.0614,2.9751,3.1694,0.0653,280055952.2,316663308.7,0.1307
Produce,Last 04 Wks,3.0,2020/03/29,2021/03/28,Total U.S.,Apples,245942815.2,201646927.9,-0.1801,1.6012,1.7081,0.0668,114591589.3,95197122.42,-0.1692,3.4365,3.618,0.0528,393796392.7,344424972.1,-0.1254
Produce,Last 04 Wks,3.0,2020/03/29,2021/03/28,Total U.S.,Apricots,23033.7589,31922.336,0.3859,4.3134,4.1179,-0.0453,30555.4742,41246.1698,0.3499,3.2516,3.1871,-0.0198,99354.1202,131454.5755,0.3231
Produce,Last 04 Wks,3.0,2020/03/29,2021/03/28,Total U.S.,Avocados,85858635.15,94154817.78,0.0966,2.5997,2.1569,-0.1703,109942881.3,116285279.3,0.0577,2.0302,1.7464,-0.1398,223203596.9,203086310.6,-0.0901
Produce,Last 04 Wks,3.0,2020/03/29,2021/03/28,Total U.S.,Bananas,545351038.8,490554099.0,-0.1005,0.538,0.5481,0.0189,275980405.4,251170841.8,-0.0899,1.0631,1.0705,0.007,293381940.6,268882604.1,-0.0835
Produce,Last 04 Wks,3.0,2020/03/29,2021/03/28,Total U.S.,Cherries,198017.4285,1220826.351,5.1652,5.9926,5.4828,-0.0851,183752.1518,1045901.22,4.6919,6.4578,6.3997,-0.009,1186638.259,6693498.72,4.6407
Produce,Last 04 Wks,3.0,2020/03/29,2021/03/28,Total U.S.,Coconuts,661185.838,781709.8972,0.1823,2.0438,2.0989,0.027,536159.2724,644562.3921,0.2022,2.5204,2.5455,0.01,1351359.347,1640762.855,0.2142
Produce,Last 04 Wks,3.0,2020/03/29,2021/03/28,Total U.S.,Dates,28913.8555,5038.1942,-0.8258,6.9114,8.0101,0.159,42217.8689,7914.1257,-0.8125,4.7334,5.0993,0.0773,199835.0968,40356.4687,-0.7981
Produce,Last 04 Wks,3.0,2020/03/29,2021/03/28,Total U.S.,Grapefruit,20921864.45,13628407.65,-0.3486,1.1399,1.2936,0.1348,9183689.999,6174808.238,-0.3276,2.5969,2.8551,0.0994,23849371.56,17629644.9,-0.2608
Produce,Last 04 Wks,3.0,2020/03/29,2021/03/28,Total U.S.,Grapes,150408075.1,135070407.4,-0.102,1.866,2.0338,0.0899,76310142.49,71476979.86,-0.0633,3.6779,3.8433,0.045,280664497.1,274709244.9,-0.0212
Produce,Last 04 Wks,3.0,2020/03/29,2021/03/28,Total U.S.,Kiwi,7537176.571,7049362.701,-0.0647,2.1801,2.3436,0.075,6508256.77,6173509.232,-0.0514,2.5247,2.6761,0.06,16431492.69,16520971.09,0.0054
Produce,Last 04 Wks,3.0,2020/03/29,2021/03/28,Total U.S.,Lemons,40315197.49,37157859.56,-0.0783,1.9044,1.8791,-0.0132,43884349.45,40045899.83,-0.0875,1.7495,1.7436,-0.0033,76774379.59,69824443.15,-0.0905
Produce,Last 04 Wks,3.0,2020/03/29,2021/03/28,Total U.S.,Limes,30523926.88,28670241.65,-0.0607,1.6565,1.8585,0.1219,34452420.45,33487309.84,-0.028,1.4676,1.5912,0.0842,50563743.91,53283898.66,0.0538
